Radiopetti,7.6
Enemy at the Gates,7.6
The Music Never Stopped,7.6
"What Happened, Miss Simone?",7.6
Accidental Courtesy,7.6
Amar Akbar &amp; Tony,7.6
Eco de la Montaña,7.6
East Jerusalem West Jerusalem,7.6
Bhavesh Joshi Superhero,7.6
The Others,7.6
Drunken Master,7.6
Watchmen,7.6
Rudy,7.6
Twinsters,7.6
For the Love of Spock,7.6
Transformers Prime Beast Hunters: Predacons Rising,7.6
Sophie's Choice,7.6
Kick-Ass,7.6
Inside Man,7.6
Star Trek: First Contact,7.6
Kevin Hart: Seriously Funny,7.6
Tom Segura: Disgraceful,7.6
Indiana Jones and the Temple of Doom,7.6
Sicario,7.6
Spellbound,7.6
Star Wars: Episode III: Revenge of the Sith,7.6
Call Me Lucky,7.6
Toy Story of Terror!,7.6
Tickled,7.6
The Testimony,7.6
Chandni Bar,7.6
Jim Gaffigan: Obsessed,7.6
Kiss &amp; Cry,7.6
Kung Fu Panda,7.6
The 100 Years Show,7.5
Jaane Tu… Ya Jaane Na,7.5
Restrepo,7.5
The Natural,7.5
Ali Wong: Baby Cobra,7.5
Mission Control: The Unsung Heroes of Apollo,7.5
Jago: A Life Underwater,7.5
The Other One: The Long Strange Trip of Bob Weir,7.5
Compulsion,7.5
Guy Martin’s Spitfire,7.5
The Mission,7.5
My Happy Family,7.5
Frozen,7.5
Peepli Live,7.5
The White Helmets,7.5
Perfume: The Story of a Murderer,7.5
Pet Fooled,7.5
Joe Rogan: Triggered,7.5
You Carry Me,7.5
Still Alice,7.5
Naledi: A Baby Elephant's Tale,7.5
Quanto Tempo o Tempo Tem,7.5
Tango Feroz,7.5
Gallipoli,7.5
Raising the Bar,7.5
Garfunkel and Oates: Trying to be Special,7.5
A Nightmare on Elm Street,7.5
Bram Stoker's Dracula,7.5
Scott Pilgrim vs. the World,7.5
Tom Segura: Mostly Stories,7.5
Total Recall,7.5
Ice Guardians,7.5
Limonata,7.5
Lion Heart,7.5
"Life, Animated",7.5
Sherlock Holmes: A Game of Shadows,7.5
Lone Survivor,7.5
Losing Sight of Shore,7.5
Secrets of Chatsworth,7.5
The Short Game,7.5
Hunting Season,7.5
Bareilly Ki Barfi,7.5
Democrats,7.5
Hitler – A Career,7.5
Train to Busan,7.5
The Distinguished Citizen,7.5
Bonnie &amp; Clyde,7.5
Resurrection,7.4
Limitless,7.4
Looper,7.4
Pumping Iron,7.4
Kevin Hart: Laugh at My Pain,7.4
In Their Shoes,7.4
Life of Ryan: Caretaker Manager,7.4
Suburra,7.4
Long Shot,7.4
Southpaw,7.4
Little Witch Academia,7.4
Secrets of Westminster,7.4
"McFarland, USA",7.4
Frida,7.4
Mike Birbiglia: Thank God for Jokes,7.4
Frances Ha,7.4
Palm Trees in the Snow,7.4
Four Minutes,7.4
Michael Jackson: The Life of an Icon,7.4
The Last Man on the Moon,7.4
Secrets of the Tower of London,7.4
Marc Maron: Thinky Pain,7.4
Forever Pure,7.4
Joan Didion: The Center Will Not Hold,7.4
Terms and Conditions May Apply,7.4
The Guernsey Literary and Potato Peel Pie Society,7.4
Smoke &amp; Mirrors,7.4
Hondros,7.4
Labyrinth,7.4
Sky Ladder: The Art of Cai Guo-Qiang,7.4
Much Ado About Nothing,7.4
The Cider House Rules,7.4
Remember,7.4
